generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
68,353,1.3106115984405499e-05,1.60192108413764e-05,1.5007305471987405e-05,5.788549325261111e-07
69,346,1.3106115984405499e-05,1.60192108413764e-05,1.5060101515549417e-05,5.777435762589279e-07
70,336,1.3106115984405499e-05,1.60192108413764e-05,1.5087033855989706e-05,5.743273082866223e-07
71,332,1.3106115984405499e-05,1.60192108413764e-05,1.5115048571151594e-05,5.322551624637857e-07
72,325,1.3109165892621127e-05,1.60192108413764e-05,1.5142078468922424e-05,4.994575884550343e-07
73,357,1.3109165892621127e-05,1.60192108413764e-05,1.5176356844726477e-05,4.747422023248932e-07
74,346,1.3109165892621127e-05,1.60192108413764e-05,1.5140142266249465e-05,4.809088350140745e-07
75,340,1.3109165892621127e-05,1.60192108413764e-05,1.515618717633052e-05,4.4761874585994616e-07
76,347,1.3109165892621127e-05,1.60192108413764e-05,1.5165162353871429e-05,4.597256029485671e-07
77,343,1.2987078988258294e-05,1.60192108413764e-05,1.5201735643721007e-05,4.0162402046478825e-07
78,348,1.2987078988258294e-05,1.60192108413764e-05,1.5193658743107873e-05,3.6657787086217545e-07
79,349,1.2987078988258294e-05,1.60192108413764e-05,1.5218193763466513e-05,3.712907447913075e-07
80,324,1.2987078988258294e-05,1.60192108413764e-05,1.522976830320395e-05,3.3708809109913543e-07
81,338,1.2882540828243688e-05,1.60192108413764e-05,1.523110256593137e-05,3.341811563590725e-07
82,347,1.2882540828243688e-05,1.60192108413764e-05,1.5217528306374391e-05,3.94214971639209e-07
83,342,1.2882540828243688e-05,1.60192108413764e-05,1.5204163765641417e-05,4.3214508584360064e-07
84,338,1.2882540828243688e-05,1.60192108413764e-05,1.5228004049710785e-05,3.7539517017137143e-07
85,347,1.2882540828243688e-05,1.6139087729470497e-05,1.518501747320852e-05,4.4419372916958154e-07
86,347,1.2882540828243688e-05,1.60192108413764e-05,1.5199519645823736e-05,4.4945186412316444e-07
87,331,1.2882540828243688e-05,1.60192108413764e-05,1.5195744920090924e-05,4.907532062842929e-07
88,358,1.2882540828243688e-05,1.60192108413764e-05,1.5190146190438624e-05,4.464937501471177e-07
89,351,1.2882540828243688e-05,1.6067294477358138e-05,1.519208020191401e-05,4.4054222594812773e-07
90,324,1.2882540828243688e-05,1.6067294477358138e-05,1.5203277707438739e-05,4.680475342318013e-07
91,352,1.2882540828243688e-05,1.6067294477358138e-05,1.520734886671846e-05,4.577193324691853e-07
92,343,1.2882540828243688e-05,1.6067294477358138e-05,1.5179869510250608e-05,4.863172582818447e-07
93,321,1.2882540828243688e-05,1.6067294477358138e-05,1.518189484021261e-05,4.926360679683968e-07
94,332,1.2882540828243688e-05,1.6067294477358138e-05,1.5181394014394848e-05,5.2833655885666e-07
95,354,1.2882540828243688e-05,1.6067294477358138e-05,1.5205325368570385e-05,4.568846651557281e-07
96,347,1.3991448684355837e-05,1.6067294477358138e-05,1.517297250342735e-05,4.2306094347980717e-07
97,328,1.3938578386515671e-05,1.6067294477358138e-05,1.5195328374297522e-05,3.7805550805439825e-07
98,359,1.3991448684355837e-05,1.603016420084478e-05,1.521153605070226e-05,3.644457521216219e-07
99,351,1.342254572109575e-05,1.60192108413764e-05,1.5214176846005434e-05,3.950929749880641e-07
100,344,1.3883873188873762e-05,1.60192108413764e-05,1.5215196661511666e-05,4.0890134135243507e-07
101,319,1.3208098717626077e-05,1.60192108413764e-05,1.5223373439715037e-05,4.2146140002136695e-07
102,339,1.3208098717626077e-05,1.60192108413764e-05,1.5237528458154987e-05,4.1989165255249555e-07
103,329,1.3174084026310452e-05,1.60192108413764e-05,1.5241568051320782e-05,4.1238060866850077e-07
104,339,1.3174084026310452e-05,1.60192108413764e-05,1.5255055853654854e-05,3.946434046379111e-07
105,355,1.3174084026310452e-05,1.6131308878982516e-05,1.52504096534903e-05,4.10653696154575e-07
106,345,1.3174084026310452e-05,1.6131308878982516e-05,1.528034851985346e-05,3.5939706830508285e-07
107,328,1.4114494992648423e-05,1.6131308878982516e-05,1.5316432282884443e-05,3.339767123237096e-07
108,355,1.370181674714703e-05,1.6131308878982516e-05,1.530738304593414e-05,3.5716191687520825e-07
109,337,1.370181674714703e-05,1.6131308878982516e-05,1.530432540613332e-05,3.544493140378799e-07
